"Location","White","Black","Total",Footnotes
"United States","191757100","38872200","319249300","1"
"Alabama","3117200","1263500","4767100"
"Alaska","421100","15200","701700"
"Arizona","3843700","306600","7098000"
"Arkansas","2108400","444200","2922500"
"California","14047400","2066300","38642700"
"Colorado","3804100","211100","5611800"
"Connecticut","2268200","346400","3453300"
"Delaware","577700","205100","940300"
"District of Columbia","246100","302400","671300"
"Florida","11119200","3150100","20992000"
"Georgia","5354500","3225900","10294000"
"Hawaii","274400","16400","1343000"
"Idaho","1429500","11500","1750900"
"Illinois","7522700","1679900","12362300"
"Indiana","5116000","600500","6511800"
"Iowa","2610600","119200","3060200"
"Kansas","2128700","153300","2811200"
"Kentucky","3648500","344900","4319300"
"Louisiana","2643900","1433000","4498600"
"Maine","1213500","17800","1302300"
"Maryland","2934100","1741500","5875500"
"Massachusetts","4687000","466200","6650800"
"Michigan","7316400","1305100","9765600"
"Minnesota","4361600","353700","5514800"
"Mississippi","1622400","1078300","2867100"
"Missouri","4715000","667100","5939900"
"Montana","895200","5900","1039400"
"Nebraska","1470900","89200","1873600"
"Nevada","1448800","279000","3029700"
"New Hampshire","1179700","17600","1314000"
"New Jersey","4738500","1081400","8699400"
"New Mexico","750000","35000","2041400"
"New York","10432200","2651600","18908300"
"North Carolina","6355400","2124200","10139700"
"North Dakota","614600","17900","731000"
"Ohio","8918300","1380000","11351500"
"Oklahoma","2488200","262800","3826900"
"Oregon","3097700","72900","4128900"
"Pennsylvania","9401500","1282000","12377600"
"Rhode Island","717300","60300","1017100"
"South Carolina","3177000","1307200","4984200"
"South Dakota","697500","18800","851300"
"Tennessee","4884500","1088500","6640900"
"Texas","11637100","3297200","28286200"
"Utah","2452300","32600","3154100"
"Vermont","555100","6700","598100"
"Virginia","5017100","1543100","8185100"
"Washington","5013200","282700","7423900"
"West Virginia","1609000","55900","1739000"
"Wisconsin","4602500","349200","5677100"
"Wyoming","471600","5400","562700"
"Puerto Rico","42600","3100","3164500"
